 : 30,45,68,80,40,39,00,04,74,93,59,47,26
А: 81,06
а: 98,85
Б: 38
б: 08
В: 29
в: 07
Г: 86
г: 79
Ґ: 35
ґ: 15
Д: 23
д: 52
Е: 50
е: 33
Є: 02
є: 99
Ж: 13
ж: 87
З: 84
з: 14
И: 09,70
и: 54,22
І: 19
і: 77
Ї: 96
ї: 01
Й: 46
й: 32
К: 49
к: 53
Л: 17
л: 60
М: 73
м: 88
Н: 36,63,41
н: 42,37,24
О: 10,11,90,61
о: 43,05,95,48
П: 34
п: 69
Р: 28
р: 16,71
С: 72,82
с: 56,62
Т: 57,44
т: 12,91
У: 18,67
у: 92,03
Ф: 20
ф: 76
Х: 51
х: 75
Ц: 78
ц: 94
Ч: 65
ч: 21
Ш: 64
ш: 58
Щ: 25
щ: 89
Ь: 97
ь: 31
Ю: 83
ю: 66
Я: 55
я: 27
